asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B06Y2FS8FK,"Madesmart 2-Tier Plastic Multipurpose Organizer with Divided Slide-Out Storage Bins, Under Sink and Cabinet Organizer Rack, Frost",https://m.media-amazon.com/images/I/61r05gGdJXL._AC_UL320_.jpg,https://www.amazon.com/dp/B06Y2FS8FK,4.6,0,17.99,22.99,163,True,3000
B07Z7C6P6V,"YINENN Bath Tub Shower Stall Mats 31x15.5 Inch Non-Slip and Latex Free, Bathtub Mat with Suction Cups, Machine Washable Bathroom Mats with Drain Holes (Clear)",https://m.media-amazon.com/images/I/71nxFhDeXJL._AC_UL320_.jpg,https://www.amazon.com/dp/B07Z7C6P6V,4.5,0,9.97,19.99,163,False,4000
B07QBZGQ6Y,"AquaBliss HD Multi Stage Shower Filter Replacement Cartridge - 48x Heavy Duty Detox Power. Kiss Itching, Breakage & Dullness Goodbye. Reduce Rust, Chemicals, Chlorine, Toxins. SFC500 Filter Cartridge",https://m.media-amazon.com/images/I/61WD4AkmJaL._AC_UL320_.jpg,https://www.amazon.com/dp/B07QBZGQ6Y,4.6,0,18.99,29.95,163,False,0
B06XKK5RDW,"Luigi's Sink and Drain Plunger for Bathrooms, Kitchens, Sinks, Baths and Showers. Small and Powerful, Commercial Style 'Plumbers Plunger' with Large Bellows",https://m.media-amazon.com/images/I/617FkvQFW6L._AC_UL320_.jpg,https://www.amazon.com/dp/B06XKK5RDW,4.5,0,14.99,0.0,163,False,3000
B07FPQZG6V,"Gorilla Grip Bath Rug 24x17, Thick Soft Absorbent Chenille, Rubber Backing Quick Dry Microfiber Mats, Machine Washable Rugs for Shower Floor, Bathroom Runner Bathmat Accessories Decor, Grey",https://m.media-amazon.com/images/I/715r2qeyaWL._AC_UL320_.jpg,https://www.amazon.com/dp/B07FPQZG6V,4.4,0,10.89,29.99,163,False,7000
B08XZ32W1Y,"OLANLY Luxury Bathroom Rug Mat 30x20, Extra Soft and Absorbent Microfiber Bath Rugs, Non-Slip Plush Shaggy Bath Carpet, Machine Wash Dry, Bath Mats for Bathroom Floor, Tub and Shower, Grey",https://m.media-amazon.com/images/I/81AFxaQnZXL._AC_UL320_.jpg,https://www.amazon.com/dp/B08XZ32W1Y,4.4,0,18.99,25.99,163,True,3000
B09DSVYN6F,"ALYVIA SPRING Extra Long Fabric Shower Curtain Liner Waterproof - 72"" x 84"", Soft & Lightweight XL Shower Curtain with Magnets, Machine Washable - 72x84, White",https://m.media-amazon.com/images/I/61N3LuiqNKL._AC_UL320_.jpg,https://www.amazon.com/dp/B09DSVYN6F,4.6,0,14.95,21.99,163,False,3000
B095PYHJ2T,Gallon Pump Dispenser - for Plastic or Glass Bottles – Heavy-Duty Leak Proof for Commercial and Household Use - Plastic Pump for 1 Gallon Jug  – Non-BPA Plastic (Pack of 2),https://m.media-amazon.com/images/I/71uhhC9A9wS._AC_UL320_.jpg,https://www.amazon.com/dp/B095PYHJ2T,4.5,0,7.97,11.99,163,False,2000
B09YR2ZH1F,"Stone Bath Mat - Non-Slip Fast-Drying Mat for Kitchen Counter, Tub & Bathroom Floor - Super Absorbent Diatomaceous Earth Shower Mat - Elegant Home Decor & Modern Accessories - Gray 23.5x15”",https://m.media-amazon.com/images/I/710f6SOkF+L._AC_UL320_.jpg,https://www.amazon.com/dp/B09YR2ZH1F,4.4,0,49.99,0.0,163,False,2000
B08QVLH26Q,"NearMoon Bathroom Toilet Paper Holder, Premium SUS304 Stainless Steel Rustproof Wall Mounted Toilet Roll Holder for Bathroom, Kitchen, Washroom (1 Pack, Brushed Nickel)",https://m.media-amazon.com/images/I/51S2eyDrcaL._AC_UL320_.jpg,https://www.amazon.com/dp/B08QVLH26Q,4.4,0,7.19,7.99,163,False,2000
